angles,noise,mse,psnr
30,0.0,0.0009704575641080737,30.13023450565815
30,0.02,0.0017688788939267397,27.52301899990096
30,0.05,0.0028062392957508564,25.51875298242429
30,0.1,0.0008212138200178742,30.85543750598329
60,0.0,0.0009851205395534635,30.06510625888143
60,0.02,0.0012987882364541292,28.864616535740588
60,0.05,0.0012802199926227331,28.92715394904691
60,0.1,0.0010797645663842559,29.666709284634855
90,0.0,0.0012355678481981158,29.081334013837115
90,0.02,0.001787632005289197,27.477218784488787
90,0.05,0.0006271367310546339,32.026377620899346
90,0.1,0.000894121010787785,30.486036995923804
30,0.0,0.0020247751381248236,26.936232004463495
30,0.02,0.005301251541823149,22.756215882214228
30,0.05,0.0010732256341725588,29.693089626803676
30,0.1,0.0014236345887184143,28.466014688930738
60,0.0,0.0014001145027577877,28.538364458343224
60,0.02,0.0009816321544349194,30.08051224257274
60,0.05,0.0019997551571577787,26.99023174538326
60,0.1,0.007902620360255241,21.022288809491066
90,0.0,0.0011114224325865507,29.541208418045223
90,0.02,0.0019377515418455005,27.12701908876019
90,0.05,0.0012920168228447437,28.887318315258597
90,0.1,0.0016887804958969355,27.72426795435389
